maintenance_id,equipment_id,maintenance_date,maintenance_type,description,cost,duration_hours,technician_id,parts_replaced,next_maintenance_due,maintenance_score,downtime_hours,created_at
145,CAT00043,2023-07-26,Preventive,Caterpillar Preventive maintenance,5208.97,14.41,TECH3619,"[""Bucket"", ""Lift Arms""]",2024-06-23,9,13.5,2025-08-28 16:57:14
146,CAT00043,2023-03-20,Emergency,Caterpillar Emergency maintenance,5459.83,13.55,TECH5148,"[""Lift Arms"", ""Bucket""]",2024-01-25,9,37.75,2025-08-28 16:57:14
147,CAT00043,2024-08-31,Preventive,Caterpillar Preventive maintenance,4561.78,3.53,TECH1077,"[""Transmission"", ""Axle""]",2025-07-29,10,18.51,2025-08-28 16:57:14
148,CAT00044,2024-10-17,Corrective,Caterpillar Corrective maintenance,2580.53,3.4,TECH7188,"[""Voltage Regulator"", ""Starter""]",2025-02-12,9,55.26,2025-08-28 16:57:14
149,CAT00044,2023-10-05,Emergency,Caterpillar Emergency maintenance,3143.67,12.87,TECH5220,"[""Alternator""]",2024-10-01,8,8.74,2025-08-28 16:57:14
150,CAT00044,2024-10-18,Corrective,Caterpillar Corrective maintenance,4395.8,4.14,TECH8361,"[""Starter"", ""Voltage Regulator""]",2025-05-06,10,39.55,2025-08-28 16:57:14
151,CAT00045,2024-01-13,Preventive,Caterpillar Preventive maintenance,2568.59,11.84,TECH6214,"[""Fuel Injector"", ""Voltage Regulator"", ""Alternator""]",2024-06-08,10,67.55,2025-08-28 16:57:14
152,CAT00045,2017-11-06,Preventive,Caterpillar Preventive maintenance,4776.45,4.61,TECH1927,"[""Fuel Injector""]",2018-06-27,9,24.88,2025-08-28 16:57:14
153,CAT00046,2015-08-03,Preventive,Caterpillar Preventive maintenance,5256.61,9.42,TECH3007,"[""Blade"", ""Final Drive""]",2016-03-01,8,62.4,2025-08-28 16:57:14
154,CAT00046,2022-07-24,Preventive,Caterpillar Preventive maintenance,3224.8,3.56,TECH9303,"[""Ripper""]",2023-01-01,8,43.57,2025-08-28 16:57:14
155,CAT00046,2018-06-28,Preventive,Caterpillar Preventive maintenance,4155.53,7.57,TECH2157,"[""Blade"", ""Ripper""]",2019-01-19,9,13.45,2025-08-28 16:57:14
156,CAT00046,2021-04-16,Preventive,Caterpillar Preventive maintenance,1463.64,3.83,TECH2353,"[""Ripper"", ""Final Drive""]",2021-09-28,9,68.7,2025-08-28 16:57:14
157,CAT00046,2022-10-26,Preventive,Caterpillar Preventive maintenance,4474.78,6.48,TECH8902,"[""Radiator""]",2023-09-11,8,67.77,2025-08-28 16:57:14
158,CAT00047,2022-08-06,Preventive,Caterpillar Preventive maintenance,3911.75,12.42,TECH3198,"[""Brakes"", ""Suspension"", ""Dump Body""]",2023-06-09,9,10.03,2025-08-28 16:57:14
159,CAT00047,2023-02-10,Preventive,Caterpillar Preventive maintenance,2449.86,11.49,TECH2010,"[""Suspension"", ""Dump Body""]",2023-06-16,8,70.75,2025-08-28 16:57:14
160,CAT00047,2024-09-16,Corrective,Caterpillar Corrective maintenance,3548.97,7.56,TECH2272,"[""Suspension"", ""Differential"", ""Dump Body""]",2025-02-18,9,68.52,2025-08-28 16:57:14
161,CAT00047,2023-08-08,Preventive,Caterpillar Preventive maintenance,824.69,13.77,TECH7293,"[""Differential"", ""Suspension"", ""Dump Body""]",2024-03-22,10,58.95,2025-08-28 16:57:14
162,CAT00048,2023-07-15,Preventive,Caterpillar Preventive maintenance,3319.0,8.9,TECH8869,"[""Circle"", ""Moldboard""]",2024-06-15,9,37.18,2025-08-28 16:57:14
163,CAT00048,2022-08-17,Preventive,Caterpillar Preventive maintenance,4436.77,7.36,TECH8689,"[""Scarifier"", ""Circle"", ""Blade""]",2022-12-23,10,21.33,2025-08-28 16:57:14
164,CAT00048,2024-05-10,Corrective,Caterpillar Corrective maintenance,1641.47,12.09,TECH5540,"[""Blade"", ""Moldboard"", ""Circle""]",2024-11-16,8,21.69,2025-08-28 16:57:14
165,CAT00048,2023-03-05,Preventive,Caterpillar Preventive maintenance,3992.86,7.63,TECH1995,"[""Moldboard"", ""Circle""]",2023-09-02,8,64.51,2025-08-28 16:57:14
166,CAT00048,2022-12-09,Preventive,Caterpillar Preventive maintenance,5233.49,7.69,TECH5832,"[""Blade""]",2023-06-23,10,70.25,2025-08-28 16:57:14
167,CAT00049,2022-06-19,Preventive,Caterpillar Preventive maintenance,3606.83,2.61,TECH3507,"[""Pallet Forks""]",2022-10-31,10,28.46,2025-08-28 16:57:14
168,CAT00050,2021-02-06,Corrective,Caterpillar Corrective maintenance,3023.97,5.71,TECH4651,"[""Ripper""]",2021-07-13,9,60.4,2025-08-28 16:57:14
169,CAT00050,2024-03-08,Preventive,Caterpillar Preventive maintenance,4475.07,13.21,TECH8110,"[""Final Drive""]",2025-02-23,10,66.39,2025-08-28 16:57:14
170,CAT00050,2021-08-22,Preventive,Caterpillar Preventive maintenance,5760.42,9.11,TECH8513,"[""Ripper"", ""Blade"", ""Final Drive""]",2022-08-12,9,65.47,2025-08-28 16:57:14
171,CAT00050,2022-10-20,Preventive,Caterpillar Preventive maintenance,4029.83,3.37,TECH9115,"[""Radiator"", ""Blade""]",2023-06-07,9,59.17,2025-08-28 16:57:14
172,CAT00050,2024-08-18,Preventive,Caterpillar Preventive maintenance,1041.88,2.37,TECH3562,"[""Final Drive"", ""Ripper"", ""Blade""]",2025-08-08,10,31.04,2025-08-28 16:57:14
173,CAT00051,2019-01-16,Corrective,Caterpillar Corrective maintenance,4707.75,11.58,TECH8279,"[""Alternator"", ""Fuel Injector""]",2019-05-27,9,35.84,2025-08-28 16:57:14
174,CAT00051,2022-08-24,Preventive,Caterpillar Preventive maintenance,2054.63,11.8,TECH7886,"[""Starter""]",2023-01-01,10,37.13,2025-08-28 16:57:14
175,CAT00051,2024-07-06,Emergency,Caterpillar Emergency maintenance,4431.06,15.84,TECH4107,"[""Voltage Regulator""]",2025-03-19,9,53.13,2025-08-28 16:57:14
176,CAT00051,2022-07-27,Preventive,Caterpillar Preventive maintenance,4980.01,10.73,TECH4120,"[""Starter""]",2023-05-11,8,61.32,2025-08-28 16:57:14
177,CAT00051,2021-03-25,Preventive,Caterpillar Preventive maintenance,1266.68,3.16,TECH6728,"[""Voltage Regulator"", ""Starter""]",2022-02-18,8,31.83,2025-08-28 16:57:14
178,CAT00052,2023-02-06,Preventive,Caterpillar Preventive maintenance,2289.76,7.5,TECH8266,"[""Blade"", ""Scarifier""]",2024-01-15,8,65.94,2025-08-28 16:57:14
179,CAT00052,2020-02-18,Preventive,Caterpillar Preventive maintenance,4984.72,14.98,TECH9326,"[""Circle""]",2020-12-30,9,67.72,2025-08-28 16:57:14
180,CAT00052,2023-01-29,Corrective,Caterpillar Corrective maintenance,5117.69,14.97,TECH7619,"[""Moldboard"", ""Blade"", ""Scarifier""]",2023-06-11,9,44.28,2025-08-28 16:57:14
181,CAT00053,2024-07-21,Preventive,Caterpillar Preventive maintenance,3195.98,13.43,TECH8770,"[""Voltage Regulator"", ""Fuel Injector"", ""Alternator""]",2025-07-14,8,29.15,2025-08-28 16:57:14
182,CAT00053,2022-08-07,Preventive,Caterpillar Preventive maintenance,4162.92,15.51,TECH7467,"[""Voltage Regulator"", ""Alternator""]",2023-07-10,10,31.55,2025-08-28 16:57:14
183,CAT00053,2022-06-23,Preventive,Caterpillar Preventive maintenance,2182.72,7.92,TECH6911,"[""Starter""]",2023-04-06,9,35.3,2025-08-28 16:57:14
184,CAT00054,2024-07-04,Preventive,Caterpillar Preventive maintenance,1452.13,7.29,TECH9032,"[""Pallet Forks"", ""Snow Blower""]",2025-03-09,8,58.33,2025-08-28 16:57:14
185,CAT00054,2019-11-16,Corrective,Caterpillar Corrective maintenance,1185.81,6.65,TECH4773,"[""Snow Blower""]",2020-04-29,10,64.71,2025-08-28 16:57:14
186,CAT00054,2020-10-19,Corrective,Caterpillar Corrective maintenance,4707.44,2.91,TECH2025,"[""Snow Blower"", ""Pallet Forks""]",2021-06-09,9,57.63,2025-08-28 16:57:14
187,CAT00055,2024-11-30,Corrective,Caterpillar Corrective maintenance,822.55,9.21,TECH6538,"[""Sprocket"", ""Track Assembly"", ""Hydraulic Pump""]",2025-07-17,10,25.42,2025-08-28 16:57:14
188,CAT00056,2025-02-02,Preventive,Caterpillar Preventive maintenance,919.86,11.09,TECH5847,"[""Ripper"", ""Blade"", ""Final Drive""]",2025-10-08,9,37.93,2025-08-28 16:57:14
189,CAT00056,2020-02-05,Preventive,Caterpillar Preventive maintenance,4559.48,10.61,TECH9944,"[""Blade"", ""Final Drive"", ""Ripper""]",2020-11-24,8,14.76,2025-08-28 16:57:14
190,CAT00056,2020-12-03,Preventive,Caterpillar Preventive maintenance,2237.37,7.7,TECH1140,"[""Ripper"", ""Final Drive"", ""Blade""]",2021-07-22,10,16.26,2025-08-28 16:57:14
191,CAT00056,2021-11-20,Preventive,Caterpillar Preventive maintenance,1431.88,4.64,TECH8475,"[""Blade""]",2022-03-12,8,41.22,2025-08-28 16:57:14
192,CAT00056,2023-05-26,Corrective,Caterpillar Corrective maintenance,1201.28,9.52,TECH4662,"[""Radiator"", ""Blade"", ""Ripper""]",2024-04-30,9,44.23,2025-08-28 16:57:14
193,CAT00057,2023-05-21,Preventive,Caterpillar Preventive maintenance,5396.78,7.46,TECH3097,"[""Scarifier"", ""Blade"", ""Moldboard""]",2024-05-16,10,63.78,2025-08-28 16:57:14
194,CAT00058,2024-05-29,Corrective,Caterpillar Corrective maintenance,5017.14,12.6,TECH2654,"[""Transmission""]",2024-10-20,10,43.95,2025-08-28 16:57:14
195,CAT00058,2025-06-21,Preventive,Caterpillar Preventive maintenance,2958.72,10.5,TECH6955,"[""Transmission"", ""Lift Arms"", ""Bucket""]",2025-09-23,9,25.65,2025-08-28 16:57:14
196,CAT00058,2021-01-16,Preventive,Caterpillar Preventive maintenance,3028.04,11.53,TECH3041,"[""Transmission"", ""Lift Arms""]",2021-04-16,9,39.17,2025-08-28 16:57:14
197,CAT00059,2023-01-17,Preventive,Caterpillar Preventive maintenance,4929.51,3.17,TECH1644,"[""Compressor Pump"", ""Pressure Switch"", ""Tank""]",2023-09-02,8,63.79,2025-08-28 16:57:14
198,CAT00059,2025-02-15,Preventive,Caterpillar Preventive maintenance,2165.12,12.27,TECH3459,"[""Tank"", ""Compressor Pump"", ""Pressure Switch""]",2025-08-14,8,33.12,2025-08-28 16:57:14
199,CAT00059,2023-01-12,Preventive,Caterpillar Preventive maintenance,1442.9,8.01,TECH5480,"[""Air Filter"", ""Tank""]",2023-04-13,8,26.83,2025-08-28 16:57:14
200,CAT00059,2022-04-20,Preventive,Caterpillar Preventive maintenance,1401.9,14.3,TECH2301,"[""Pressure Switch"", ""Air Filter"", ""Tank""]",2022-12-22,9,66.77,2025-08-28 16:57:14
201,CAT00060,2024-08-30,Preventive,Caterpillar Preventive maintenance,3358.39,12.11,TECH5339,"[""Radiator"", ""Final Drive"", ""Ripper""]",2025-06-28,8,18.87,2025-08-28 16:57:14
202,CAT00060,2024-12-17,Preventive,Caterpillar Preventive maintenance,3424.95,12.08,TECH2830,"[""Radiator"", ""Blade"", ""Ripper""]",2025-10-02,10,64.94,2025-08-28 16:57:14
203,CAT00060,2025-08-14,Preventive,Caterpillar Preventive maintenance,3492.75,3.97,TECH3457,"[""Radiator"", ""Ripper""]",2026-08-09,9,55.29,2025-08-28 16:57:14
204,CAT00061,2025-07-19,Preventive,Caterpillar Preventive maintenance,2360.08,4.34,TECH3779,"[""Suspension"", ""Differential""]",2025-11-03,8,35.65,2025-08-28 16:57:14
205,CAT00062,2018-01-21,Preventive,Caterpillar Preventive maintenance,2270.21,14.02,TECH8962,"[""Fuel Injector"", ""Alternator""]",2018-08-04,9,48.15,2025-08-28 16:57:14
206,CAT00062,2024-10-09,Corrective,Caterpillar Corrective maintenance,5779.03,13.52,TECH3072,"[""Voltage Regulator""]",2025-06-30,10,20.0,2025-08-28 16:57:14
207,CAT00062,2018-06-29,Preventive,Caterpillar Preventive maintenance,2194.83,5.4,TECH7697,"[""Fuel Injector""]",2019-04-24,10,45.69,2025-08-28 16:57:14
208,CAT00062,2019-12-10,Preventive,Caterpillar Preventive maintenance,4166.83,12.99,TECH6063,"[""Starter""]",2020-06-07,8,59.07,2025-08-28 16:57:14
209,CAT00062,2021-01-27,Preventive,Caterpillar Preventive maintenance,1956.39,11.34,TECH6052,"[""Voltage Regulator""]",2021-04-27,10,55.54,2025-08-28 16:57:14
210,CAT00063,2024-12-31,Corrective,Caterpillar Corrective maintenance,2627.64,8.97,TECH6320,"[""Lift Arms"", ""Transmission""]",2025-06-20,8,69.64,2025-08-28 16:57:14
211,CAT00063,2022-03-25,Preventive,Caterpillar Preventive maintenance,4591.83,14.37,TECH3582,"[""Lift Arms""]",2022-06-27,9,20.36,2025-08-28 16:57:14
212,CAT00063,2024-12-24,Corrective,Caterpillar Corrective maintenance,1896.08,10.38,TECH1632,"[""Transmission"", ""Lift Arms"", ""Bucket""]",2025-04-02,8,55.06,2025-08-28 16:57:14
213,CAT00063,2022-07-14,Preventive,Caterpillar Preventive maintenance,2041.61,14.85,TECH1013,"[""Bucket"", ""Transmission"", ""Lift Arms""]",2022-12-05,9,25.08,2025-08-28 16:57:14
214,CAT00064,2022-11-12,Preventive,Caterpillar Preventive maintenance,1722.31,5.08,TECH8361,"[""Scarifier""]",2023-07-29,10,69.95,2025-08-28 16:57:14
215,CAT00064,2019-10-23,Corrective,Caterpillar Corrective maintenance,5800.21,4.06,TECH1815,"[""Moldboard"", ""Blade""]",2020-10-22,9,13.32,2025-08-28 16:57:14
216,CAT00064,2024-09-28,Preventive,Caterpillar Preventive maintenance,5750.0,3.81,TECH8715,"[""Blade"", ""Scarifier""]",2025-03-24,9,55.96,2025-08-28 16:57:14
217,CAT00064,2020-07-02,Preventive,Caterpillar Preventive maintenance,3201.15,9.27,TECH6191,"[""Blade""]",2020-12-15,10,58.72,2025-08-28 16:57:14
218,CAT00065,2024-06-08,Preventive,Caterpillar Preventive maintenance,5662.3,14.5,TECH5707,"[""Differential""]",2025-03-27,10,26.42,2025-08-28 16:57:14
219,CAT00066,2021-12-22,Preventive,Caterpillar Preventive maintenance,3251.38,12.8,TECH3975,"[""Air Filter"", ""Compressor Pump""]",2022-04-25,9,49.71,2025-08-28 16:57:14
220,CAT00066,2017-12-10,Corrective,Caterpillar Corrective maintenance,1786.96,12.58,TECH1760,"[""Compressor Pump""]",2018-09-12,10,32.82,2025-08-28 16:57:14
221,CAT00066,2025-05-19,Corrective,Caterpillar Corrective maintenance,3760.36,6.31,TECH3067,"[""Tank"", ""Air Filter"", ""Pressure Switch""]",2025-09-05,9,39.19,2025-08-28 16:57:14
222,CAT00066,2023-09-26,Corrective,Caterpillar Corrective maintenance,2109.94,11.89,TECH3300,"[""Air Filter""]",2024-03-17,9,48.99,2025-08-28 16:57:14
223,CAT00066,2016-07-16,Preventive,Caterpillar Preventive maintenance,3042.84,11.1,TECH4854,"[""Air Filter"", ""Tank""]",2017-04-21,10,54.32,2025-08-28 16:57:14
224,CAT00067,2024-02-20,Preventive,Caterpillar Preventive maintenance,3252.58,3.66,TECH7910,"[""Transmission"", ""Bucket""]",2024-12-30,10,67.08,2025-08-28 16:57:14
225,CAT00067,2023-05-06,Corrective,Caterpillar Corrective maintenance,2863.8,4.35,TECH8205,"[""Bucket""]",2023-08-22,9,37.83,2025-08-28 16:57:14
226,CAT00068,2021-01-13,Preventive,Caterpillar Preventive maintenance,1331.27,7.84,TECH2959,"[""Voltage Regulator""]",2021-11-13,9,55.28,2025-08-28 16:57:14
227,CAT00068,2024-02-12,Preventive,Caterpillar Preventive maintenance,1404.16,15.09,TECH5362,"[""Alternator"", ""Voltage Regulator"", ""Fuel Injector""]",2024-09-14,10,11.57,2025-08-28 16:57:14
228,CAT00068,2023-11-06,Corrective,Caterpillar Corrective maintenance,2646.55,4.87,TECH6650,"[""Voltage Regulator"", ""Starter""]",2024-09-02,8,45.19,2025-08-28 16:57:14
229,CAT00068,2024-03-28,Preventive,Caterpillar Preventive maintenance,1356.11,11.23,TECH6256,"[""Alternator""]",2025-03-18,9,58.92,2025-08-28 16:57:14
230,CAT00069,2019-07-09,Corrective,Caterpillar Corrective maintenance,2033.02,9.61,TECH6292,"[""Grapple""]",2019-11-04,8,48.14,2025-08-28 16:57:14
231,CAT00069,2021-04-03,Preventive,Caterpillar Preventive maintenance,2631.57,10.14,TECH3386,"[""Grapple"", ""Auger""]",2021-12-13,8,42.98,2025-08-28 16:57:14
232,CAT00069,2018-08-17,Preventive,Caterpillar Preventive maintenance,2522.5,9.52,TECH1046,"[""Auger"", ""Snow Blower""]",2019-05-05,9,69.52,2025-08-28 16:57:14
233,CAT00069,2022-11-03,Preventive,Caterpillar Preventive maintenance,4993.12,10.85,TECH7133,"[""Snow Blower"", ""Auger""]",2023-02-27,9,42.67,2025-08-28 16:57:14
234,CAT00069,2020-05-03,Corrective,Caterpillar Corrective maintenance,4233.81,12.47,TECH1958,"[""Grapple"", ""Pallet Forks""]",2021-03-16,9,60.92,2025-08-28 16:57:14
235,CAT00070,2022-05-01,Preventive,Caterpillar Preventive maintenance,4549.57,11.54,TECH5633,"[""Track Assembly"", ""Sprocket""]",2023-04-08,8,71.94,2025-08-28 16:57:14
236,CAT00070,2025-01-18,Preventive,Caterpillar Preventive maintenance,2542.94,8.47,TECH1453,"[""Boom Cylinder""]",2025-06-20,10,22.79,2025-08-28 16:57:14
237,CAT00070,2024-10-10,Corrective,Caterpillar Corrective maintenance,3044.13,2.92,TECH7998,"[""Sprocket"", ""Track Assembly""]",2025-04-09,10,38.93,2025-08-28 16:57:14
238,CAT00071,2016-12-09,Preventive,Caterpillar Preventive maintenance,4493.83,11.62,TECH5624,"[""Suspension"", ""Differential""]",2017-08-11,9,31.36,2025-08-28 16:57:14
239,CAT00071,2020-05-17,Corrective,Caterpillar Corrective maintenance,1296.96,2.67,TECH3019,"[""Brakes"", ""Differential""]",2020-09-14,10,55.82,2025-08-28 16:57:14
240,CAT00072,2023-05-01,Preventive,Caterpillar Preventive maintenance,3518.23,11.02,TECH3192,"[""Axle"", ""Transmission"", ""Lift Arms""]",2024-02-23,10,46.87,2025-08-28 16:57:14
241,CAT00072,2025-01-23,Preventive,Caterpillar Preventive maintenance,2338.96,9.57,TECH2514,"[""Lift Arms""]",2025-08-08,10,38.5,2025-08-28 16:57:14
242,CAT00072,2022-11-28,Corrective,Caterpillar Corrective maintenance,5263.82,6.39,TECH1422,"[""Axle"", ""Lift Arms"", ""Bucket""]",2023-09-17,9,41.57,2025-08-28 16:57:14
243,CAT00073,2024-05-13,Corrective,Caterpillar Corrective maintenance,3319.69,7.68,TECH3315,"[""Boom Cylinder"", ""Hydraulic Pump"", ""Sprocket""]",2025-04-14,8,14.89,2025-08-28 16:57:14
244,CAT00073,2021-07-07,Corrective,Caterpillar Corrective maintenance,1191.41,11.67,TECH5770,"[""Sprocket"", ""Boom Cylinder"", ""Track Assembly""]",2022-01-07,8,29.74,2025-08-28 16:57:14
245,CAT00073,2019-09-07,Corrective,Caterpillar Corrective maintenance,3282.81,9.85,TECH4648,"[""Sprocket""]",2019-12-27,9,15.03,2025-08-28 16:57:14
246,CAT00074,2021-01-27,Preventive,Caterpillar Preventive maintenance,1835.34,2.21,TECH7904,"[""Dump Body"", ""Brakes""]",2021-07-01,10,53.67,2025-08-28 16:57:14
247,CAT00074,2020-12-20,Preventive,Caterpillar Preventive maintenance,5168.75,4.1,TECH9192,"[""Suspension""]",2021-03-25,9,44.51,2025-08-28 16:57:14
248,CAT00074,2022-09-30,Preventive,Caterpillar Preventive maintenance,4299.68,9.11,TECH6379,"[""Differential"", ""Brakes""]",2023-06-14,9,44.56,2025-08-28 16:57:14
249,CAT00074,2025-05-27,Preventive,Caterpillar Preventive maintenance,5545.86,4.75,TECH3646,"[""Dump Body""]",2026-03-07,10,10.22,2025-08-28 16:57:14
250,CAT00074,2016-08-07,Preventive,Caterpillar Preventive maintenance,2899.98,7.59,TECH6558,"[""Suspension"", ""Differential"", ""Dump Body""]",2017-03-26,8,37.07,2025-08-28 16:57:14
251,CAT00075,2020-06-22,Preventive,Caterpillar Preventive maintenance,4459.15,3.68,TECH5299,"[""Engine"", ""Water System"", ""Vibratory System""]",2020-10-30,9,11.29,2025-08-28 16:57:14
252,CAT00075,2025-02-21,Corrective,Caterpillar Corrective maintenance,2059.54,6.79,TECH8440,"[""Vibratory System""]",2025-11-30,9,25.47,2025-08-28 16:57:14
253,CAT00075,2021-08-23,Preventive,Caterpillar Preventive maintenance,3503.02,3.98,TECH4958,"[""Water System"", ""Drum"", ""Vibratory System""]",2022-06-28,9,41.28,2025-08-28 16:57:14
254,CAT00075,2021-07-22,Preventive,Caterpillar Preventive maintenance,3998.34,2.88,TECH8693,"[""Engine""]",2022-07-11,8,46.79,2025-08-28 16:57:14
255,CAT00076,2019-12-18,Preventive,Caterpillar Preventive maintenance,3812.25,4.81,TECH4066,"[""Drum"", ""Engine"", ""Water System""]",2020-10-01,8,51.96,2025-08-28 16:57:14
256,CAT00076,2024-08-03,Preventive,Caterpillar Preventive maintenance,1426.97,11.16,TECH8280,"[""Water System""]",2025-07-19,10,30.49,2025-08-28 16:57:14
257,CAT00077,2022-08-05,Preventive,Caterpillar Preventive maintenance,3921.5,4.92,TECH7868,"[""Scarifier"", ""Blade"", ""Circle""]",2022-11-30,8,16.33,2025-08-28 16:57:14
258,CAT00077,2015-09-21,Preventive,Caterpillar Preventive maintenance,4573.24,9.45,TECH6545,"[""Moldboard"", ""Scarifier""]",2016-05-05,8,45.62,2025-08-28 16:57:14
259,CAT00077,2018-05-09,Corrective,Caterpillar Corrective maintenance,4290.34,4.06,TECH1297,"[""Blade""]",2018-10-22,10,64.89,2025-08-28 16:57:14
260,CAT00078,2022-09-30,Preventive,Caterpillar Preventive maintenance,4526.86,15.62,TECH1427,"[""Compressor Pump""]",2023-06-24,8,30.73,2025-08-28 16:57:14
261,CAT00078,2016-09-12,Preventive,Caterpillar Preventive maintenance,4074.69,13.4,TECH8157,"[""Pressure Switch"", ""Air Filter""]",2017-03-06,9,46.34,2025-08-28 16:57:14
262,CAT00078,2020-12-07,Preventive,Caterpillar Preventive maintenance,2258.61,9.16,TECH4850,"[""Pressure Switch"", ""Air Filter""]",2021-07-01,9,12.58,2025-08-28 16:57:14
263,CAT00078,2015-12-25,Preventive,Caterpillar Preventive maintenance,1697.51,7.35,TECH6417,"[""Tank""]",2016-05-17,10,24.67,2025-08-28 16:57:14
264,CAT00079,2022-12-31,Preventive,Caterpillar Preventive maintenance,4524.78,5.83,TECH5778,"[""Alternator"", ""Starter""]",2023-07-26,10,44.0,2025-08-28 16:57:14
265,CAT00079,2019-09-01,Preventive,Caterpillar Preventive maintenance,2050.27,8.46,TECH1558,"[""Fuel Injector""]",2020-01-06,8,32.5,2025-08-28 16:57:14
266,CAT00080,2021-05-16,Preventive,Caterpillar Preventive maintenance,5417.04,10.1,TECH9307,"[""Radiator"", ""Ripper""]",2021-10-04,10,63.96,2025-08-28 16:57:14
267,CAT00080,2022-12-11,Preventive,Caterpillar Preventive maintenance,4814.33,2.15,TECH1352,"[""Radiator"", ""Final Drive"", ""Ripper""]",2023-03-21,8,26.23,2025-08-28 16:57:14
268,CAT00080,2022-08-04,Preventive,Caterpillar Preventive maintenance,2451.13,11.05,TECH9533,"[""Radiator"", ""Ripper""]",2023-06-26,8,20.75,2025-08-28 16:57:14
269,CAT00081,2024-09-14,Preventive,Caterpillar Preventive maintenance,2712.26,6.39,TECH8603,"[""Compressor Pump"", ""Air Filter""]",2025-08-21,10,55.08,2025-08-28 16:57:14
270,CAT00081,2020-11-01,Preventive,Caterpillar Preventive maintenance,2399.77,10.44,TECH7141,"[""Pressure Switch"", ""Compressor Pump""]",2021-03-25,8,66.37,2025-08-28 16:57:14
271,CAT00082,2022-12-24,Corrective,Caterpillar Corrective maintenance,1009.82,13.07,TECH1971,"[""Lift Arms""]",2023-09-21,9,67.22,2025-08-28 16:57:14
272,CAT00082,2023-09-12,Corrective,Caterpillar Corrective maintenance,4289.28,2.67,TECH8199,"[""Bucket"", ""Lift Arms"", ""Axle""]",2024-02-09,9,19.34,2025-08-28 16:57:14
273,CAT00082,2022-01-14,Preventive,Caterpillar Preventive maintenance,3500.87,8.55,TECH5208,"[""Bucket""]",2022-06-28,9,60.59,2025-08-28 16:57:14
274,CAT00082,2023-10-08,Corrective,Caterpillar Corrective maintenance,1471.25,3.18,TECH7868,"[""Transmission"", ""Lift Arms""]",2024-06-06,8,10.66,2025-08-28 16:57:14
275,CAT00083,2022-06-30,Preventive,Caterpillar Preventive maintenance,1074.11,11.04,TECH7987,"[""Boom Cylinder""]",2023-05-24,10,67.02,2025-08-28 16:57:14
276,CAT00083,2020-11-12,Corrective,Caterpillar Corrective maintenance,3029.46,2.38,TECH9382,"[""Hydraulic Pump"", ""Sprocket""]",2021-08-19,9,70.03,2025-08-28 16:57:14
277,CAT00083,2021-05-06,Preventive,Caterpillar Preventive maintenance,2760.56,15.58,TECH2783,"[""Track Assembly"", ""Boom Cylinder""]",2022-02-10,8,27.64,2025-08-28 16:57:14
278,CAT00083,2019-07-17,Preventive,Caterpillar Preventive maintenance,3425.58,2.53,TECH6381,"[""Sprocket"", ""Hydraulic Pump"", ""Boom Cylinder""]",2020-03-03,8,16.52,2025-08-28 16:57:14
279,CAT00084,2022-06-29,Preventive,Caterpillar Preventive maintenance,4943.54,14.63,TECH1509,"[""Scarifier""]",2022-11-21,8,33.05,2025-08-28 16:57:14
280,CAT00084,2024-03-28,Preventive,Caterpillar Preventive maintenance,1734.76,12.04,TECH1684,"[""Circle"", ""Blade"", ""Scarifier""]",2024-07-09,8,71.83,2025-08-28 16:57:14
281,CAT00085,2022-06-28,Preventive,Caterpillar Preventive maintenance,1857.9,7.79,TECH9195,"[""Alternator"", ""Starter""]",2022-10-15,10,67.92,2025-08-28 16:57:14
282,CAT00085,2023-09-11,Corrective,Caterpillar Corrective maintenance,5770.74,6.44,TECH2968,"[""Alternator""]",2024-05-13,9,60.23,2025-08-28 16:57:14
283,CAT00086,2018-06-14,Preventive,Caterpillar Preventive maintenance,1436.18,12.11,TECH1094,"[""Auger""]",2019-02-28,8,28.51,2025-08-28 16:57:14
284,CAT00086,2022-05-18,Corrective,Caterpillar Corrective maintenance,1433.09,11.26,TECH9488,"[""Snow Blower""]",2023-01-25,8,26.22,2025-08-28 16:57:14
285,CAT00086,2016-11-07,Preventive,Caterpillar Preventive maintenance,5703.22,9.19,TECH8652,"[""Auger""]",2017-06-16,10,47.08,2025-08-28 16:57:14
286,CAT00086,2020-11-26,Corrective,Caterpillar Corrective maintenance,2614.91,14.05,TECH5480,"[""Pallet Forks""]",2021-07-19,10,51.99,2025-08-28 16:57:14
287,CAT00086,2023-04-03,Corrective,Caterpillar Corrective maintenance,4222.79,3.63,TECH9075,"[""Auger""]",2023-09-12,9,39.83,2025-08-28 16:57:14
288,CAT00087,2018-06-04,Preventive,Caterpillar Preventive maintenance,1207.69,8.43,TECH3846,"[""Track Assembly"", ""Hydraulic Pump""]",2018-11-05,10,29.87,2025-08-28 16:57:14
289,CAT00087,2020-08-01,Preventive,Caterpillar Preventive maintenance,4227.07,3.0,TECH6594,"[""Boom Cylinder"", ""Track Assembly""]",2021-01-08,9,14.02,2025-08-28 16:57:14
290,CAT00087,2018-08-16,Emergency,Caterpillar Emergency maintenance,5091.61,9.45,TECH6128,"[""Hydraulic Pump"", ""Sprocket""]",2019-07-09,8,24.66,2025-08-28 16:57:14
